name,class,ammo,mag_size,reload_time,dps,body_damage,head_damage,leg_damage,sps,modes,projectile_speed,draw_time,description,image_url
Kraber .50 CAL,sniper,Unique,4,4.30,150,125,250,90.63,1.2,Single,29500,1.20,The Kraber is one of two legendary weapons in Apex Legends and sports its own unique ammo - meaning you only get 8 shots. It's a phenomenally powerful bolt-action sniper capable of dealing 250 headshot damage in a single shot and sports a built-in 6x-10x scope for perfect snipes over immense distances,kraber.png
Devotion,lmg,Energy Ammo,44,3.63,255,17,34,12.75,15,Auto (Wind-Up),33500,0.70,The Devotion is currently top of many gun rankings in Apex Legends because of its awesome fire rate and DPS. The Turbocharger Hop-Up attachment really makes it shine but definitely reduces the gun's sizeable warm-up period after firing. Not really a gun to rely on against close-range attackers - you'll probably end up dead before you have the time to get your fire rate up,devotion.png
M600 Spitfire,lmg,Heavy Rounds,35,3.33,180,20,40,16,9,Auto,27500,0.70,The Spitfire is surprisingly accurate for an LMG with decent DPS (nothing compared to Devotion though) and gets easier to manage at medium ranges. Often found in the hands of the top players in Apex Legends at the moment,spitfire.png
Havoc,ar,Energy Ammo,25,3.20,201.6,18,36,13.5,11.2,Auto,30500,0.60,The first gun ever added to Apex Legends. The Havoc is a tricky gun and a lot of its performance is dependent on different attachments. You can choose the Turbocharger which eliminate wind-up-time before it starts firing in full-auto or the Selectfire Receiver. Overall a fast-firing AR that deals whopping damage once it gets going,havoc.png
VK-47 Flatline,ar,Heavy Rounds,20,3.10,160,16,32,12,10,Single/Auto,26000,0.60,The Flatline is basically the baseline Assault Rifile in terms of stats. It has decent flat damage and a high clip size especially with attachments. Unfortunately it's nothing special and many consider it left in the dust by the R-301,vk47.png
Hemlok Burst,ar,Heavy Rounds,18,2.80,108,18,36,13.5,15,Single/Burst,27500,0.60,A burst weapon that fires 3 bullets in extremely quick succession. If you're accurate you can deal over 100 damage in the space of about 0.2 seconds. Unfortunately the Hemlok's burst mode can't compete with the short-range DPS of many other weapons. Many players will give up the Hemlok for a good ol' Carbine,hemlok.png
R-301 Carbine,ar,Light Rounds,18,3.20,189,14,28,10.5,13.5,Single/Auto,29000,0.60,The R-301 Carbine is the best AR on offer at the moment (or at least on par with the a Turbocharged Havoc). You trade a bit of damage for a faster rate of fire and an easier ride in general. Low recoil and a high bullet speed makes the Carbine excellent at most ranges (it can even be used to great effect at long range if you switch to single-shot mode). Almost no recoil,r301.png
Alternator,smg,Light Rounds,16,2.23,130,13,19,10.4,10,Auto,19500,0.35,The Alternator is slow-firing but packs decent damage for an SMG. It has very high vertical but very minimal horizontal recoil. Put an extended mag or holo on it to take advantage of the gun's exceptionally quick reload time. Just don't expect to out-damage a good Assault Rifle or LMG,alternator.png
R-99,smg,Light Rounds,18,2.45,216,12,18,9.6,18,Auto,21000,0.35,Because of its higher fire rate the R-99 will outperform the Alternator at close-range. It's currently the most sought-after baseline SMG in Apex Legends. At longer ranges the R-99's high recoil will often let you down unless you have a long of experience with this weapon,r99.png
Prowler Burst,smg,Heavy Rounds,20,2.60,122.78,14,21,11.2,20,Burst (5-shot),18000,0.35,This punchy burst SMG is... alright... until you manage to get your hands on an accompanying Selectfire Receiver Hop-Up attachment - then it becomes one of Apex Legends' most powerful weapons. Overall reliability falls short compared to an R-99, prowler.png

